Main Category
Access Request
Account Management
Activity
Admin Rights
Application/Software
Asset Allocation/Replacement
Clearance & Handover
Data Backup/Transfer
Data not Clear
Email/Outlook
Hardware
ID Creation/Deletion
IP Phone
License Request
MS Office
MS Teams
Meetings
Network/Server
Onboarding/Offboarding
Other Hardware
Printer
Troubleshooting
VPN
